"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2566",448179,"Rich Hill","6147","41.7","0.211","0.088","0.280","0.299","0.268","0.283","0.221","136","645","80.5","2.6","2837","74.6","73.31","281","1205","1336","-1.3","5.82","109","152","110","146","296","317","294"
"2431",500779,"Jose Quintana","9369","25.9","0.232","0.186","0.287","0.418","0.295","0.277","0.225","121","521","82.9","13.0","2166","77.1","76.43","300","966","1455","-0.7","5.83","110","151","108","147","297","314","290"
"2416",605400,"Aaron Nola","7675","31.5","0.165","0.096","0.263","0.260","0.199","0.196","0.166","105","638","78.9","5.5","2537","77.5","76.77","462","1147","1249","-0.7","6.11","108","151","110","147","291","317","289"
"2125",446372,"Corey Kluber","9315","22.8","0.103","0.072","0.177","0.175","0.126","0.165","0.138","66","639","77.6","17.2","2598","84.1","83.45","553","1207","914","-0.7","5.79","109","152","114","149","289","312","290"
"2071",461829,"Gio Gonzalez","9502","21.8","0.188","0.089","0.327","0.277","0.243","0.237","0.174","74","393","81.9","0.0","2749","75.9","74.58","252","694","1359","-1.3","5.66","109","150","112","147","297","309","288"
"1870",621244,"Jose Berrios","6600","28.3","0.212","0.142","0.303","0.354","0.267","0.251","0.194","97","458","81.1","14.9","2380","81.6","80.67","281","826","1034","-0.9","5.88","108","149","116","146","294","318","291"
"1753",467100,"Ivan Nova","7516","23.3","0.167","0.142","0.291","0.309","0.217","0.201","0.158","71","424","81.4","11.4","2300","80.6","79.25","297","711","1035","-1.3","5.47","111","151","113","147","299","318","295"
"1667",425794,"Adam Wainwright","6083","27.4","0.237","0.130","0.319","0.367","0.285","0.276","0.230","97","409","79.7","6.5","2660","73.6","72.49","220","729","930","-1.1","5.92","112","147","111","146","295","315","299"
"1637",434378,"Justin Verlander","10626","15.4","0.181","0.094","0.261","0.275","0.210","0.215","0.181","67","371","80.5","9.5","2817","79.7","78.13","164","615","1017","-1.6","5.32","110","154","117","148","297","323","292"
"1591",592791,"Jameson Taillon","6836","23.3","0.211","0.097","0.378","0.308","0.237","0.202","0.174","78","370","81.3","1.0","2634","81.5","80.44","198","598","990","-1.1","5.76","111","151","113","149","299","315","295"
"1529",450203,"Charlie Morton","5351","28.6","0.122","0.104","0.220","0.226","0.189","0.185","0.124","48","393","77.9","3.8","2904","80.1","78.42","289","648","863","-1.7","5.45","110","151","116","150","284","316","291"
