"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2844",543766,"Bryan Shaw","3381","84.1","0.257","0.136","0.311","0.393","0.315","0.303","0.246","157","610","82.1","9.6","2433","94.0","93.08","326","1359","1478","-0.9","5.52","108","149","112","146","294","316","292"
"2700",445276,"Kenley Jansen","3155","85.6","0.182","0.147","0.244","0.329","0.241","0.234","0.179","113","620","79.0","24.9","2598","93.1","94.48","471","1487","1201","1.4","6.98","115","153","111","147","298","322","300"
"2188",452657,"Jon Lester","9417","23.2","0.241","0.131","0.289","0.372","0.287","0.291","0.244","140","580","81.6","15.6","2363","88.2","88.10","267","1218","956","-0.1","6.14","112","151","109","148","296","318","294"
"2151",458708,"Josh Tomlin","5885","36.6","0.306","0.212","0.331","0.518","0.358","0.340","0.281","207","676","82.0","16.1","2594","85.7","84.82","241","1230","905","-0.9","5.41","107","152","113","148","292","313","290"
"1865",448306,"James Shields","8456","22.1","0.311","0.239","0.314","0.550","0.395","0.406","0.316","138","444","84.0","16.3","2354","86.3","87.07","184","883","972","0.8","6.60","108","151","110","146","293","312","290"
"1804",282332,"CC Sabathia","7757","23.3","0.238","0.152","0.272","0.390","0.301","0.288","0.231","110","462","79.8","15.1","2195","89.4","90.29","191","930","861","0.9","6.65","103","151","111","145","300","323","287"
"1717",456034,"David Price","7566","22.7","0.270","0.186","0.325","0.455","0.329","0.313","0.253","106","393","83.8","16.0","2122","88.6","87.96","184","835","871","-0.6","5.87","106","149","114","147","286","318","286"
"1643",502085,"David Robertson","3266","50.3","0.253","0.175","0.300","0.429","0.353","0.340","0.228","78","308","83.0","21.2","2548","92.1","92.47","130","634","1001","0.4","6.58","109","153","108","147","297","320","290"
"1636",407793,"John Lackey","5626","29.1","0.170","0.085","0.236","0.255","0.210","0.251","0.199","80","471","83.0","15.4","2170","83.1","82.47","317","870","756","-0.6","5.92","114","152","110","149","295","319","295"
"1611",425794,"Adam Wainwright","6083","26.5","0.265","0.140","0.286","0.405","0.306","0.303","0.255","108","407","81.0","14.1","2354","85.2","85.16","167","836","752","0.0","6.17","110","146","108","145","295","314","298"
"1598",517008,"Alex Colome","2941","54.3","0.188","0.070","0.273","0.258","0.212","0.222","0.182","84","446","83.0","5.5","2126","89.8","89.06","333","900","693","-0.7","5.93","112","152","116","146","299","330","300"
"1597",542881,"Tyler Anderson","6050","26.4","0.246","0.200","0.306","0.446","0.311","0.268","0.212","100","406","81.3","11.0","2427","87.4","87.21","198","812","778","-0.2","5.83","109","150","113","144","303","324","301"
"1595",502190,"Mike Leake","8240","19.4","0.243","0.102","0.294","0.345","0.271","0.299","0.261","110","452","81.7","16.1","2213","88.5","86.61","153","880","708","-1.9","5.06","110","149","112","147","292","317","296"
"1579",446372,"Corey Kluber","9315","17.0","0.258","0.166","0.301","0.424","0.306","0.293","0.249","104","403","80.8","13.1","2594","88.7","88.46","303","915","658","-0.2","5.85","108","152","110","149","285","312","293"
