"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"4532",453562,"Jake Arrieta","8628","52.5","0.239","0.149","0.265","0.388","0.306","0.325","0.256","243","1015","82.5","12.9","2266","93.2","92.73","292","1941","2561","-0.5","6.25","111","151","109","148","295","320","295"
"4045",502327,"Hector Santiago","6371","63.5","0.235","0.217","0.263","0.452","0.345","0.362","0.235","198","842","83.2","29.9","2191","91.3","89.77","383","1876","2155","-1.5","5.58","107","149","110","146","296","316","291"
"3614",502706,"Derek Holland","7196","50.2","0.273","0.168","0.311","0.441","0.348","0.342","0.262","237","868","82.8","17.8","2264","91.7","90.93","221","1628","1969","-0.8","5.94","107","149","110","145","297","318","293"
"3607",571927,"Steven Matz","6016","60.0","0.256","0.183","0.300","0.439","0.335","0.324","0.243","187","731","83.7","14.3","2067","93.7","93.92","289","1474","2096","0.2","6.54","110","150","109","146","295","315","294"
"3606",502190,"Mike Leake","8240","43.8","0.329","0.176","0.334","0.505","0.370","0.379","0.323","296","899","85.9","6.8","2032","90.2","88.32","152","1596","1987","-1.9","5.26","109","149","109","147","293","316","296"
"3558",543294,"Kyle Hendricks","8215","43.3","0.272","0.124","0.305","0.396","0.315","0.319","0.269","222","815","82.0","9.5","1949","86.9","86.40","139","1348","2192","-0.5","5.87","112","152","110","149","298","319","294"
"3181",608665,"Kendall Graveman","5139","61.9","0.288","0.163","0.297","0.451","0.339","0.366","0.301","228","791","86.4","7.5","2303","93.3","93.55","186","1345","1822","0.2","6.51","108","151","110","148","297","321","298"
"3036",446372,"Corey Kluber","9315","32.6","0.290","0.190","0.354","0.480","0.355","0.329","0.264","200","690","85.5","12.0","2251","92.6","92.86","111","1042","1987","0.3","6.37","108","151","110","149","289","312","291"
"2694",460059,"Mike Pelfrey","4346","62.0","0.325","0.197","0.332","0.522","0.397","0.385","0.301","211","650","84.2","13.0","1941","92.6","93.45","124","1177","1500","0.9","6.85","109","151","112","145","297","316","292"
"2617",621389,"Ty Blach","4640","56.4","0.283","0.148","0.304","0.432","0.339","0.346","0.287","189","667","82.6","15.0","2111","90.1","87.66","142","1194","1408","-2.4","5.00","107","147","111","146","294","316","294"
"2329",519076,"Jimmy Nelson","5736","40.6","0.304","0.125","0.318","0.429","0.362","0.359","0.288","183","601","83.6","5.9","2156","93.8","93.75","142","1080","1223","-0.1","6.25","108","152","109","148","299","312","288"
"2171",453172,"Jared Hughes","2951","73.6","0.255","0.128","0.284","0.383","0.307","0.310","0.254","139","546","84.0","-2.4","1986","92.8","92.53","230","1114","1043","-0.3","6.23","110","149","111","145","297","307","288"
"2133",445213,"Brandon Kintzler","2919","73.1","0.278","0.129","0.304","0.407","0.318","0.327","0.279","145","521","84.0","6.8","1955","93.1","93.14","114","944","1171","0.0","6.36","108","148","110","146","294","316","294"
"2108",641771,"Chad Kuhl","5263","40.1","0.307","0.196","0.326","0.503","0.379","0.375","0.295","150","489","84.1","16.3","2115","94.7","94.81","130","932","1161","0.1","6.41","111","151","111","149","299","314","295"
"1984",450172,"Edinson Volquez","4748","41.8","0.306","0.197","0.303","0.502","0.395","0.421","0.310","129","422","85.1","13.4","2292","93.6","93.88","93","817","1153","0.3","6.58","110","150","109","146","294","316","296"
"1946",643327,"Zack Godley","6594","29.5","0.302","0.184","0.296","0.486","0.370","0.401","0.327","131","434","85.8","1.7","2253","90.7","89.68","88","739","1184","-1.0","5.71","109","152","108","149","301","324","302"
"1928",433587,"Felix Hernandez","6400","30.1","0.305","0.243","0.298","0.548","0.405","0.401","0.307","139","456","85.2","11.9","1988","90.1","90.09","97","815","1094","0.0","6.43","107","152","108","147","289","315","291"
"1911",282332,"CC Sabathia","7757","24.6","0.315","0.184","0.324","0.499","0.388","0.359","0.284","140","445","81.8","6.9","2017","90.0","90.89","143","840","1046","0.9","6.91","104","150","109","145","298","321","288"
"1908",518397,"Scott Alexander","2351","81.2","0.267","0.094","0.311","0.361","0.315","0.313","0.256","119","446","84.6","-1.8","2208","93.0","92.49","231","892","1004","-0.5","5.84","110","152","110","145","295","316","296"
"1907",571760,"Andrew Heaney","3257","58.6","0.293","0.242","0.332","0.535","0.378","0.350","0.267","125","426","83.4","22.0","2464","91.9","90.73","185","870","1031","-1.2","5.82","109","152","111","147","299","320","295"
"1887",502239,"Trevor Cahill","4476","42.2","0.301","0.158","0.327","0.459","0.381","0.388","0.297","118","392","85.4","5.9","2227","91.7","91.22","88","697","1165","-0.5","6.11","110","150","113","148","295","318","296"
"1835",595014,"Blake Treinen","3355","54.7","0.277","0.100","0.310","0.377","0.323","0.326","0.273","116","419","83.2","0.5","2334","96.8","95.41","179","862","963","-1.4","5.63","109","148","112","147","296","314","292"
"1833",453265,"Tony Watson","3014","60.8","0.284","0.151","0.320","0.435","0.336","0.331","0.261","120","423","80.7","14.5","2299","93.3","92.46","168","925","890","-0.8","6.03","112","150","109","147","301","316","294"
